,bhk,price,size,location
523,3,66.2,893,KHANAPARA
524,3,52.4,1204,GARCHUK
525,3,72.4,1540,KAHILIPARA
526,2,47.0,970,PATHAR QUARRY
527,3,47.8,1098,GARCHUK
528,3,70.0,1355,SIX MILE
529,3,50.0,1100,BEHARBARI CHARIALI
530,3,107.0,958,REHABARI
531,3,109.00000000000001,1222,CHANDMARI
532,4,118.0,1322,CHANDMARI
533,3,73.8,1539,KAHILIPARA
534,4,138.0,1186,REHABARI
535,2,42.4,738,JALUKBARI
536,3,59.6,950,DHIRENPARA
537,3,48.0,1000,LALMATI
538,2,33.0,900,BELTOLA
539,3,54.5,1213,VIP ROAD
540,3,41.5,885,JALUKBARI
541,2,51.1,1090,JALUKBARI
542,3,66.5,1311,PANJABARI
543,3,63.1,1314,PANJABARI
544,3,63.3,1319,PANJABARI
545,3,53.9,1217,LOKHRA
546,3,65.0,1000,ULUBARI
547,3,120.0,1360,BELTOLA
548,3,103.0,1552,ATHGAON
549,3,43.0,1205,GUWAHATI
550,3,51.6,740,GARCHUK
551,3,53.0,1100,BAGHARBARI
552,1,21.0,262,KAHIKUCHI
553,2,39.1,600,GARCHUK
554,3,60.0,1350,JATIA
555,4,128.0,2170,BHANGAGARH
556,2,49.4,772,BELTOLA
557,4,113.99999999999999,2378,BELTOLA
558,3,66.3,983,BELTOLA
559,3,120.0,1360,BELTOLA
560,3,78.0,1558,BHETAPARA
561,3,95.0,880,KAHILPARA
562,3,60.0,805,HATIGAON
563,3,61.0,834,HATIGAON
564,3,60.8,1413,SOUTH SARANIA
565,3,65.7,1313,KAHILIPARA
566,3,66.0,965,BELTOLA
567,3,84.0,1300,NARIKAL BARI
568,1,25.0,700,LAL GANESH
569,3,60.5,1050,BHETAPARA
570,3,56.2,1000,BHETAPARA
571,3,41.8,1099,GARCHUK
572,3,41.6,1095,GARCHUK
573,3,43.6,1147,GARCHUK
574,3,44.7,1175,GARCHUK
575,3,45.3,1191,GARCHUK
576,3,48.3,1270,GARCHUK
577,2,32.6,858,GARCHUK
578,3,41.8,1099,GARCHUK
579,3,41.6,1095,GARCHUK
580,3,43.6,1147,GARCHUK
581,2,38.2,812,LAL GANESH
582,2,32.6,858,GARCHUK
583,2,46.6,1083,LAL GANESH
584,3,45.0,900,BELTOLA
585,2,59.0,1080,ZOO ROAD
586,3,38.0,700,HENGRABARI
587,3,44.7,1175,GARCHUK
588,3,45.3,1191,GARCHUK
589,3,48.3,1270,GARCHUK
590,3,46.4,1220,GARCHUK
591,3,64.0,930,DISPUR
592,3,46.4,1220,GARCHUK
593,3,60.0,900,MALIGAON
594,2,37.6,799,LAL GANESH
595,2,46.0,1096,JATIA
596,3,76.1,1384,BIRUBARI
597,3,67.0,1100,BHETAPARA
598,3,60.0,1200,GHORAMARA
599,3,80.0,1350,SOUTH SARANIA
600,3,57.8,1193,KHANAPARA
601,2,30.0,1000,KAHILIPARA
602,1,30.4,456,JALUKBARI
603,2,46.0,741,JALUKBARI
604,2,32.0,1000,KAHILIPARA
605,3,87.0,1250,BELTOLA
606,2,50.0,900,RUKMINI GAON
607,3,51.0,1280,SIX MILE
608,2,38.3,850,GANDHI BASTI
609,2,46.8,1040,GANDHI BASTI
610,2,38.3,850,GANDHI BASTI
611,2,46.9,1040,GANDHI BASTI
612,3,58.0,890,BETKUCHI
613,2,46.9,1040,GANDHI BASTI
614,3,56.3,1250,GANDHI BASTI
615,3,56.3,1250,GANDHI BASTI
616,3,56.4,1250,GANDHI BASTI
617,2,51.5,900,SOUTH SARANIA
618,3,47.6,1252,LOKHRA
619,2,39.4,633,BETKUCHI
620,3,74.6,1080,BELTOLA
621,3,74.6,1080,BELTOLA
622,3,74.7,1080,BELTOLA
623,3,73.3,1061,BELTOLA
624,3,73.3,1061,BELTOLA
625,3,73.4,1061,BELTOLA
626,3,48.0,1063,MALIGAON
627,3,58.0,1000,PANJABARI
628,2,40.0,750,KAHILIPARA
629,3,62.0,1309,PANJABARI
630,3,78.2,942,ZOO ROAD
631,2,45.0,880,KAHILIPARA
632,2,59.9,1033,KAHILIPARA
633,3,35.0,913,KAHIKUCHI
634,3,70.0,1200,PANJABARI
635,4,142.0,1205,REHABARI
636,2,50.0,950,SURVEY
637,1,21.8,574,LOKHRA
638,2,54.0,850,NARENGI TINALI
639,3,55.0,1223,JATIA
640,2,47.0,660,JATIA
641,4,144.0,1196,REHABARI
642,2,33.2,591,GARCHUK
643,3,90.8,1211,REHABARI
644,2,125.0,1600,KHARGHULI HILLS
645,2,47.0,1023,BAMUNIMAIDAM
646,2,44.3,705,DHIRENPARA
647,3,64.6,933,JATIA
648,2,39.7,1045,LOKHRA
649,3,53.8,1250,LOKHRA
650,3,62.9,1309,PANJABARI
651,3,63.0,1311,PANJABARI
652,3,63.6,1326,PANJABARI
653,2,55.0,900,BELTOLA
654,3,63.0,1340,GUWAHATI
655,3,56.0,1340,PANJABARI
656,3,92.0,1463,BHETAPARA
657,2,43.0,831,MALIGAON
658,2,43.8,633,BETKUCHI
659,3,86.7,1564,GEETANAGAR
660,2,50.0,1000,HATIGAON
661,3,49.2,886,SATGAON
662,3,70.8,1361,LALMATI
663,3,60.0,1395,LOKHRA
664,3,82.7,1036,GS ROAD
665,5,105.0,1815,ULUBARI
666,2,50.0,1050,BELTOLA
667,2,37.4,675,SATGAON
668,3,44.0,761,KALA PAHAR
669,2,35.0,610,KALA PAHAR
670,2,52.1,717,JALUKBARI
671,1,20.0,398,AZARA
672,3,48.4,750,JALUKBARI
673,3,59.8,1390,LOKHRA
674,3,70.0,1456,LOKHRA ROAD
675,3,64.9,1248,LALMATI
676,3,149.0,1985,BELTOLA
677,3,69.4,1351,KHANAPARA
678,3,65.0,1250,BELTOLA
679,3,74.3,1000,BELTOLA
680,2,32.0,850,JALUKBARI
681,2,35.6,850,JALUKBARI
682,2,30.0,780,JALUKBARI
683,2,33.6,780,JALUKBARI
684,2,31.0,821,JALUKBARI
685,2,34.6,821,JALUKBARI
686,3,38.0,990,JALUKBARI
687,3,41.6,990,JALUKBARI
688,3,39.0,1021,JALUKBARI
689,3,42.6,1021,JALUKBARI
690,3,40.0,1050,JALUKBARI
691,3,43.6,1050,JALUKBARI
692,3,77.0,878,BIRUBARI
693,3,75.0,1200,VIP ROAD
694,3,60.0,1246,BHETAPARA
695,3,53.6,645,JALUKBARI
696,2,47.0,1100,VIP ROAD
697,3,54.0,836,KHANAPARA
698,2,60.0,1000,REHABARI
699,3,50.0,1350,JATIA
700,1,22.0,455,LAL GANESH
701,2,55.0,1106,CHRISTIAN BASTI
702,2,39.9,708,LAL GANESH
703,3,74.4,1370,BELTOLA
704,3,57.8,1194,KHANAPARA
705,3,68.3,1250,BELTOLA
706,2,48.0,1005,TARUN NAGAR
707,3,72.0,967,KAHILIPARA
708,2,52.5,722,KAHILIPARA
709,2,52.0,700,KAHILIPARA
710,3,50.9,1084,LAL GANESH
711,3,80.9,1394,SILPUKHURI
712,3,70.0,1500,PANJABARI
713,2,40.0,968,GUWAHATI
714,2,45.0,950,KAHILIPARA
715,2,58.0,1106,ULUBARI
